trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.text,textbox.started,actual_dots,participant,session,date,frameRate,
0,0,0,0,1,29.066636400006246,1,,001,2021_Jul_10_0141,59.89124946386988,
1,0,1,0,2,32.98243570001796,2,,001,2021_Jul_10_0141,59.89124946386988,
2,0,2,0,4,36.52599519997602,4,,001,2021_Jul_10_0141,59.89124946386988,
3,0,3,0,8,40.17286599997897,8,,001,2021_Jul_10_0141,59.89124946386988,
4,0,4,0,16,44.16395620000549,16,,001,2021_Jul_10_0141,59.89124946386988,
5,0,5,0,32,47.85612219996983,32,,001,2021_Jul_10_0141,59.89124946386988,
6,0,6,0,64,51.666504699969664,64,,001,2021_Jul_10_0141,59.89124946386988,
7,0,7,0,128,57.66546439996455,128,,001,2021_Jul_10_0141,59.89124946386988,
8,0,8,0,256,61.72123590001138,256,,001,2021_Jul_10_0141,59.89124946386988,
9,0,9,0,256,65.87635589996353,256,,001,2021_Jul_10_0141,59.89124946386988,
10,0,10,0,32,69.76130030001514,256,,001,2021_Jul_10_0141,59.89124946386988,
11,0,11,0,654,73.52024809998693,128,,001,2021_Jul_10_0141,59.89124946386988,
12,0,12,0,43,77.09359000000404,64,,001,2021_Jul_10_0141,59.89124946386988,
